classification,pricePerMonth,dateListed,address,specs,url
Condo For Rent,550,19 days ago,"1012 S Alston Ave Durham Nc # 27701, Durham, NC",1 bd  1 ba  -- sqft,zillow.com/homedetails/1012-S-Alston-Ave-Durham-Nc-27701-Durham-NC-27701/2095003322_zpid/
Apartment For Rent,600,50 days ago,"1309 Hudson Ave, Durham, NC",1 bd  1 ba  617 sqft,zillow.com/homedetails/1309-Hudson-Ave-Durham-NC-27705/49970558_zpid/
Condo For Rent,625,5 days ago,"1403 Evelyn St A # B, Durham, NC",1 bd  1 ba  -- sqft,zillow.com/homedetails/1403-Evelyn-St-A-B-Durham-NC-27701/2094849833_zpid/
Condo For Rent,650,19 days ago,"205 E Maynard Ave APT 8, Durham, NC",1 bd  1 ba  700 sqft,zillow.com/homedetails/205-E-Maynard-Ave-APT-8-Durham-NC-27704/2095007347_zpid/
Apartment For Rent,650,26 days ago,"625 Middle St, Durham, NC",2 bds  1 ba  682 sqft,zillow.com/homedetails/625-Middle-St-Durham-NC-27703/49980014_zpid/
Apartment For Rent,655,9 days ago,"636 W Club Blvd # A, Durham, NC",1 bd  1 ba  -- sqft,zillow.com/homedetails/636-W-Club-Blvd-A-Durham-NC-27701/2117731952_zpid/
Apartment For Rent,675,9 days ago,"1318 Marne Ave APT A, Durham, NC",2 bds  1.5 ba  -- sqft,zillow.com/homedetails/1318-Marne-Ave-APT-A-Durham-NC-27704/2094915283_zpid/
Apartment For Rent,675,36 days ago,"1802 N Alston Ave # A, Durham, NC",1 bd  1 ba  -- sqft,zillow.com/homedetails/1802-N-Alston-Ave-A-Durham-NC-27701/2100350150_zpid/
Condo For Rent,695,8 days ago,"920 Hale St # A, Durham, NC",1 bd  1 ba  -- sqft,zillow.com/homedetails/920-Hale-St-A-Durham-NC-27705/2119253472_zpid/
House For Rent,695,54 days ago,"836 Estes St, Durham, NC",1 bd  1 ba  -- sqft,zillow.com/homedetails/836-Estes-St-Durham-NC-27701/2095417476_zpid/
House For Rent,695,54 days ago,"848 Estes St, Durham, NC",1 bd  1 ba  -- sqft,zillow.com/homedetails/848-Estes-St-Durham-NC-27701/2113040144_zpid/
Apartment For Rent,715,15 days ago,"2604 Englewood Ave # 3, Durham, NC",1 bd  1 ba  386 sqft,zillow.com/homedetails/2604-Englewood-Ave-3-Durham-NC-27705/2103692679_zpid/
